student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
1749,18,Female,3.7,4,1,No,70.1,6.7,Good,0,Bachelor,Poor,9,Yes,77.2
1750,24,Female,6.1,1.9,0.2,No,97.6,5.9,Poor,6,Bachelor,Poor,6,No,98.5
1751,21,Female,6.8,2.9,2,No,80,5.4,Fair,0,High School,Average,7,No,96.2
1752,18,Male,4.5,1.6,2.9,Yes,72.3,4.4,Good,3,High School,Good,4,Yes,71.3
1753,18,Male,4.3,3.4,0.9,No,83.3,5.7,Fair,1,Master,Good,2,No,59.2
1754,18,Female,0.8,3.3,0.2,No,85.7,7.1,Good,4,Bachelor,Poor,9,No,51.8
1755,22,Male,2.7,4.7,1.7,Yes,67.5,5.7,Poor,2,Master,Good,9,No,59.3
1756,18,Male,2.3,2.3,1.7,No,88.3,6.2,Good,4,Bachelor,Good,4,No,58.5
1757,19,Female,2.6,3.3,2.4,No,74.5,7.1,Fair,0,Master,Good,3,Yes,44.5
1758,17,Male,3.2,2.6,2.8,No,100,7.1,Fair,1,High School,Good,10,Yes,75.4
1759,23,Female,2.8,4.1,1.7,Yes,90.2,5.2,Fair,1,Bachelor,Average,6,Yes,54.9
1760,20,Male,0.5,1.6,3.8,Yes,81,7.7,Good,4,None,Average,3,Yes,30.2
1761,18,Female,4.6,3.4,2,No,77.5,7.9,Good,0,Bachelor,Good,1,Yes,71.8
1762,21,Male,1.9,2.3,1.4,No,84,5.1,Fair,4,High School,Poor,4,No,51.8
1763,18,Male,3.9,2.4,0,Yes,91.1,5.5,Good,3,High School,Poor,1,Yes,59.5
1764,21,Male,6.6,2.6,1.5,No,84.7,7.9,Fair,1,Master,Poor,2,No,96.6
1765,19,Male,2.1,2.8,1.4,Yes,82.8,6.3,Poor,1,Master,Average,3,No,44.1
1766,21,Male,0,2.4,2.9,No,85.6,3.8,Poor,3,None,Average,8,No,30.5
1767,24,Male,3.1,2.8,2.3,No,79,4.8,Poor,0,Bachelor,Average,10,No,63.7
1768,20,Female,5.2,4.4,0.5,No,81.6,6.2,Fair,1,High School,Poor,4,No,74
1769,17,Male,6.4,3.7,2,No,64.1,5.1,Fair,6,High School,Good,4,No,98.8
1770,21,Female,1.7,3.5,2.5,No,94.7,6,Good,5,Bachelor,Good,10,No,53
1771,21,Female,4.2,2,3.5,No,88,6.5,Good,5,High School,Average,9,No,84.6
1772,17,Female,2.8,1.4,2.8,No,77.3,8.3,Poor,5,Master,Poor,7,No,73
1773,20,Male,3.3,3.6,2.6,No,100,6.2,Fair,2,High School,Poor,2,Yes,57.1
1774,18,Female,7.5,3.6,1.9,Yes,85.9,7.8,Fair,6,Bachelor,Average,3,No,100
1775,21,Male,1.2,4.3,2.2,No,74.6,8.2,Fair,2,Bachelor,Average,4,No,36.2
1776,17,Male,3.9,1.8,3.2,No,93.6,8.2,Poor,0,High School,Average,4,No,65.6
1777,24,Other,4.2,2.2,0.3,Yes,89,6.8,Poor,3,High School,Good,10,Yes,87.5
1778,24,Male,5.1,0.5,1.4,No,88.9,4.1,Good,4,Bachelor,Average,8,No,100
1779,19,Female,3.6,2,1,Yes,80.7,7.1,Good,6,Bachelor,Average,10,No,85.6
1780,17,Female,4,3.7,2.2,No,89.5,7.8,Poor,0,High School,Average,10,Yes,89.4
1781,19,Female,2.9,1.9,3.2,No,82.4,6.4,Fair,4,Bachelor,Good,6,No,66.9
1782,24,Female,3.9,3.3,1.1,Yes,90.6,8.6,Fair,0,None,Good,3,No,56
1783,20,Male,3,2.3,0,No,66,7.5,Good,2,High School,Good,9,No,77.9
1784,18,Male,4.4,2.9,1.3,No,80.7,7.2,Fair,5,High School,Good,10,No,91.3
1785,17,Female,2.9,1.1,2.8,No,100,7.8,Poor,3,None,Average,8,No,68.4
1786,23,Male,4.1,2.6,2.4,No,77.3,6.9,Good,2,Bachelor,Average,9,No,85.3
1787,24,Male,3.5,0,2.3,No,79,3.5,Fair,3,Bachelor,Good,5,Yes,64.4
1788,24,Male,5.2,2.3,1.5,No,80.5,5.9,Fair,6,Master,Poor,3,No,82.8
1789,23,Male,3.4,0.5,0.4,No,72.9,7.9,Fair,4,Bachelor,Good,4,No,78
1790,22,Male,0.8,3.9,2.4,No,62.9,5.5,Fair,0,Master,Good,5,No,31.5
1791,24,Male,5.4,3.4,0.9,No,82.7,6.2,Fair,1,Bachelor,Good,9,No,92.3
1792,21,Female,2.1,3.1,4.2,No,86.4,5.2,Fair,1,Bachelor,Poor,9,Yes,50.1
1793,20,Female,2.5,4.3,2.4,No,84.5,8.6,Fair,3,Master,Good,3,No,49.4
1794,17,Female,2.6,1.4,1.2,No,83.6,8.5,Poor,5,Bachelor,Average,7,No,80.3
1795,23,Male,5.6,4.6,1.1,No,85.4,5.4,Good,5,None,Poor,6,Yes,89.7
1796,21,Male,0.3,3.6,1.7,No,95.2,6.7,Poor,3,Bachelor,Average,4,Yes,33.6
1797,23,Male,8.2,2.2,1.5,No,83.1,5.7,Poor,2,Master,Good,5,Yes,100
1798,17,Female,5.1,3.9,3,No,79.3,7.2,Good,1,Bachelor,Average,10,No,90.6
1799,19,Female,3.8,1.2,2,No,82.2,7.1,Good,2,Bachelor,Average,2,Yes,66.3
1800,17,Male,3.4,1.5,1,No,90.8,7.5,Good,4,Bachelor,Poor,7,Yes,86.1
1801,22,Female,3.9,1.8,3.9,No,99.1,6.9,Fair,1,Master,Good,4,No,65.5
1802,17,Male,4.3,1.9,1.9,No,78.7,10,Fair,4,None,Good,2,No,82.9
1803,17,Female,4.5,1.2,2.6,No,86,5.3,Good,0,Bachelor,Good,6,Yes,76.3
1804,22,Female,4.3,4,1.1,Yes,88.4,4.4,Good,2,High School,Average,2,Yes,59
1805,20,Female,3.6,2.2,2.2,No,75.1,6,Fair,3,Bachelor,Average,10,Yes,76.1
1806,24,Female,3.2,2.9,2.1,No,85.2,4.6,Good,1,Bachelor,Good,2,Yes,40.3
1807,17,Female,3.3,1.8,0,No,70.3,4.7,Poor,2,High School,Average,7,Yes,65.2
1808,22,Male,3.2,0.3,4,Yes,67.3,5.3,Good,3,High School,Good,1,No,43.9
1809,21,Female,5.2,2.8,3.2,No,88.7,5.4,Good,0,Bachelor,Good,7,Yes,89.5
1810,19,Male,4.4,0.2,1.4,No,81.2,5.4,Good,1,High School,Average,10,No,80.7
1811,19,Female,0,2.4,0.6,Yes,87,7.1,Good,4,High School,Average,5,No,53
1812,17,Female,4.5,0.9,2.2,No,84.8,5.9,Good,0,Bachelor,Good,1,No,70.6
1813,20,Female,3.8,4.9,1.9,No,75.2,6.3,Poor,5,High School,Average,6,No,65.5
1814,20,Male,3.5,3.6,2.2,No,84.5,7.6,Fair,3,High School,Average,7,No,75.1
1815,21,Female,2.9,2.6,2,No,72.7,5.6,Poor,1,Master,Good,1,No,43.5
1816,17,Female,5.2,4,2.4,No,98.9,6.2,Fair,1,High School,Average,9,No,80.6
1817,19,Female,4.9,1.5,3.4,No,71.4,6.9,Good,6,High School,Good,7,Yes,88.2
1818,20,Male,2.3,3.2,2.4,No,83,4.2,Fair,6,Bachelor,Poor,1,Yes,48.5
1819,17,Male,4.1,2.7,0.6,No,74.6,3.6,Fair,0,Bachelor,Good,3,No,67.3
1820,23,Male,2,2.8,3.3,No,90.7,6.9,Fair,1,Master,Poor,5,No,50.7
1821,20,Male,1.4,4,3.6,No,81.7,7.1,Good,3,Master,Poor,4,No,35.4
1822,22,Female,2.6,3.4,5.3,No,79.8,9,Poor,0,Bachelor,Good,2,No,49.1
1823,23,Male,4.8,2.8,0.6,No,93.5,6.7,Fair,4,High School,Good,1,No,85.4
1824,24,Other,4.9,0.5,2.1,No,85.3,7.5,Poor,0,None,Average,4,No,83.9
1825,20,Male,4.3,1.3,0,Yes,90.2,6.3,Good,0,High School,Average,7,No,90.4
1826,19,Male,4.6,2.4,2.4,No,75.2,6.9,Poor,4,High School,Good,4,No,87.8
1827,18,Female,4.3,2.6,1.2,No,71,8.5,Good,5,Bachelor,Average,9,No,87.5
1828,23,Female,2.5,1.1,3.9,No,86.1,4,Fair,6,Bachelor,Good,8,No,58.2
1829,24,Female,4.1,5.4,0.9,No,81.8,7,Poor,3,None,Good,8,Yes,73.2
1830,21,Female,4.7,4.3,0,No,91.3,9.1,Good,5,Bachelor,Good,5,No,83.5
1831,21,Female,4.6,3.2,1.3,No,84.2,6.8,Poor,5,High School,Average,1,Yes,77.6
1832,19,Male,5.3,2.6,0,Yes,87.1,8.5,Fair,5,High School,Average,9,Yes,98.4
1833,20,Other,4.6,2.2,2.6,No,68.8,5.7,Poor,6,Bachelor,Good,2,No,78.5
1834,17,Other,4,1.4,0,Yes,100,6.5,Fair,2,High School,Poor,6,Yes,81.1
1835,20,Female,5.1,2.6,1.8,No,83.4,6.5,Fair,6,High School,Average,10,No,100
1836,19,Male,3.5,2.8,0,No,92,3.8,Fair,5,None,Poor,5,Yes,58.7
1837,21,Female,2.2,1,1.4,No,76.6,5.1,Poor,2,High School,Poor,10,No,62.6
1838,20,Male,3.3,2.9,3.6,No,88.1,5.2,Fair,4,Bachelor,Average,8,Yes,60.3
1839,21,Male,2.4,2.3,2.2,No,72,7.5,Good,6,Master,Average,3,No,63.9
1840,23,Male,2.5,0.2,0.9,Yes,89.5,7.5,Good,3,High School,Good,6,Yes,80
1841,24,Male,3.3,1.5,1.8,Yes,81.4,6.9,Fair,5,High School,Average,6,No,62.6
1842,17,Female,2.3,2,1.8,No,85.3,7.5,Fair,1,Bachelor,Average,10,No,71.4
1843,23,Female,3,4.8,2.3,Yes,92,6.3,Fair,4,Master,Poor,3,No,60.6
1844,21,Female,0.7,3.2,0.3,Yes,72.7,7.9,Fair,2,High School,Good,7,Yes,47.2
1845,21,Male,3.8,0.9,2.5,No,78.2,6.5,Poor,6,High School,Average,4,Yes,78.1
1846,18,Male,3.5,3.1,0,No,89.6,6.6,Fair,3,Bachelor,Good,5,Yes,75.5
1847,18,Male,2.3,0.6,1.1,No,100,6.2,Fair,0,Bachelor,Good,9,No,73.5
1848,23,Other,4.5,3.8,1.3,No,83.6,7.3,Fair,3,High School,Poor,6,No,74.6
1849,22,Male,4.9,1.9,2.5,No,90.9,6,Fair,3,Bachelor,Average,10,No,98.7
1850,23,Female,1.1,2.4,1.8,No,83.9,7.7,Good,5,High School,Average,4,Yes,49.2
1851,18,Female,2.4,4.1,0.3,No,100,5.1,Poor,5,Bachelor,Good,8,No,67.4
1852,21,Male,2.3,1,0.7,No,67.5,5.2,Good,6,Bachelor,Good,9,No,72.5
1853,19,Female,2.1,0.8,2,No,85.9,7.3,Good,6,Master,Good,10,Yes,68.4
1854,23,Female,4.7,1.8,1.7,No,68.7,6.4,Fair,2,High School,Average,5,No,70
1855,21,Female,3.2,3.7,1.2,No,59.9,6,Fair,6,High School,Good,2,No,56.1
1856,19,Female,3.1,0.7,1.3,Yes,88,7.6,Fair,2,High School,Poor,6,Yes,81.5
1857,19,Male,0.5,0,2.6,Yes,86.4,5.8,Poor,5,Master,Poor,8,Yes,45
1858,18,Male,4.5,2,1.2,Yes,82.2,6.3,Fair,5,High School,Good,5,Yes,84.4
1859,23,Female,1.6,3.2,1.7,No,83.9,8.2,Good,1,High School,Good,1,No,36.8
1860,20,Female,3.6,3.9,4.2,No,100,8.3,Poor,1,High School,Poor,8,Yes,65.6
1861,17,Male,3.9,1.9,0.2,No,82.4,8.4,Fair,4,Bachelor,Poor,9,Yes,93.5
1862,18,Female,5.5,2,0,No,90.1,6.2,Good,5,High School,Poor,1,No,93.7
1863,18,Female,1.5,3.9,2.7,No,78.5,8,Good,0,High School,Poor,8,Yes,42.3
1864,20,Female,0,0.3,1.1,Yes,88,5.4,Fair,1,High School,Average,10,Yes,53.3
1865,17,Male,3.8,2,1.4,No,82.6,5.4,Good,2,Master,Good,2,No,65.9
1866,21,Female,6.2,2.7,0.9,No,80.9,3.7,Fair,3,Bachelor,Good,4,Yes,87.9
1867,22,Female,5.4,3,1.5,No,100,8.5,Poor,6,Bachelor,Good,2,No,94.5
1868,23,Male,3.8,1.9,3.6,No,96.8,5.5,Fair,6,Master,Good,2,No,77.8
1869,22,Male,2.8,2.5,2.7,Yes,86.4,6.3,Fair,4,Master,Average,10,No,74.6
1870,21,Other,4.7,0,2.7,Yes,62,5.4,Good,1,High School,Good,3,No,67.5
1871,24,Male,2,1.7,0.2,Yes,81.4,7.3,Poor,3,Master,Good,8,Yes,66.5
1872,18,Female,4.2,3,0.5,No,100,6,Fair,3,None,Average,4,No,78.4
1873,17,Female,4.3,1.3,0,No,82.7,4.9,Fair,1,High School,Good,7,No,84.9
1874,18,Male,5.1,2.6,0.9,No,96,7,Fair,0,Master,Average,10,No,96.6
1875,19,Female,7.6,3,2.9,No,99.4,4.8,Poor,0,High School,Good,3,No,100
1876,18,Male,4.1,2.1,2.4,No,87.2,5.5,Fair,4,High School,Good,10,No,83.1
1877,18,Female,2.7,2.7,1.6,No,76.6,4,Good,0,High School,Average,3,No,36.9
1878,21,Male,3.5,1.3,1.8,Yes,60.6,4.8,Fair,4,Bachelor,Good,2,No,60
1879,21,Female,0.8,2.3,1,No,91.8,6.7,Fair,2,High School,Poor,6,No,44.3
1880,21,Male,2.5,3.2,2,No,76.9,4.1,Fair,1,Bachelor,Good,6,No,41.6
1881,22,Male,2.9,2.7,2.6,Yes,86.8,4.7,Fair,3,Master,Average,1,No,45.5
1882,19,Other,2.7,1.8,0,No,72.5,6.5,Fair,4,Bachelor,Poor,7,No,68.2
1883,24,Male,3.7,2.8,2.1,No,82.3,5.8,Good,6,High School,Average,4,No,75.5
1884,24,Female,2.3,3.4,2.8,No,85.3,8.9,Good,0,Master,Good,3,No,40.9
1885,21,Male,5.2,0,1.3,No,87.7,8.7,Fair,6,High School,Poor,8,No,100
1886,17,Female,3.5,3.9,2.6,No,73.9,5.5,Fair,4,High School,Good,2,Yes,65.6
1887,22,Male,3.5,2.1,4.9,No,97,7.2,Good,5,None,Poor,9,No,75.9
1888,20,Other,3,3,1.7,Yes,79,7.4,Fair,4,Bachelor,Good,8,Yes,69.8
1889,17,Male,3.7,3.9,2.2,Yes,68.3,5.8,Fair,0,High School,Good,8,No,66.6
1890,23,Male,4.7,0.9,1,Yes,83.9,4.7,Fair,5,High School,Average,3,No,84.5
1891,23,Male,2.2,1.6,2,Yes,85.3,6.5,Good,5,High School,Average,4,Yes,65.6
1892,17,Male,2.5,2.2,2.3,No,86.6,6.3,Fair,0,High School,Good,2,No,46.8
1893,21,Female,3,1.6,2,No,98.6,6,Good,5,Bachelor,Good,2,No,67.7
1894,20,Male,1.5,4.6,0.7,Yes,82.6,7,Good,1,Bachelor,Good,4,Yes,45.4
1895,20,Female,2.3,1.5,2,No,83.8,5.6,Fair,3,Bachelor,Average,6,No,57
1896,22,Male,2.8,1.8,3.4,Yes,74,5.1,Good,6,High School,Average,5,No,58.4
1897,20,Male,4.8,2.7,2.3,No,93.2,6.6,Good,1,High School,Good,1,Yes,70.8
1898,23,Female,3.9,1.1,2.9,No,86.8,7,Fair,1,Master,Average,10,No,75.7
1899,19,Female,3.8,2,1.5,No,80.8,5.1,Poor,0,None,Average,1,No,55.7
1900,21,Male,4.8,2.9,2.6,No,66,7.6,Poor,0,Master,Average,6,Yes,82.1
1901,20,Male,3.3,2.1,2.1,No,99.4,4.4,Fair,6,High School,Good,3,Yes,71.4
1902,22,Male,4.1,2.4,0.8,No,72.7,5.8,Fair,3,Master,Good,3,No,66.7
1903,23,Female,3.3,1.9,2.2,No,79.1,6.2,Fair,4,High School,Average,7,No,70.9
1904,19,Female,3.9,0.7,0.7,Yes,88.6,5.7,Poor,1,High School,Poor,1,Yes,73
1905,18,Male,2.6,2.9,1.1,Yes,73,5.8,Good,5,Bachelor,Poor,1,Yes,53.9
1906,18,Female,0,4.6,2,Yes,70.1,8.7,Fair,3,Bachelor,Average,10,No,43.4
1907,19,Female,3.3,2.5,2.1,No,63.8,5.5,Fair,1,High School,Average,3,No,55.4
1908,23,Female,5.6,2.8,0.5,Yes,92.2,9.4,Fair,4,Bachelor,Good,8,No,100
1909,22,Female,4.9,3.3,3,No,79.5,7,Fair,5,Bachelor,Average,1,No,71.8
1910,19,Male,4.9,1,2.4,No,100,6.6,Fair,1,None,Average,10,No,89.2
1911,21,Male,5.4,4.5,1,No,75.1,7.1,Fair,2,None,Good,4,No,83.9
1912,21,Male,3.6,2.7,0.1,No,75.8,9.5,Poor,6,High School,Average,9,No,89.1
1913,18,Male,3.8,4.5,1.6,Yes,79.3,5.3,Good,3,High School,Good,4,No,53.5
1914,20,Female,2.6,1.6,1.3,Yes,87.4,5.2,Good,6,Bachelor,Poor,10,No,72.9
1915,22,Female,3,4.7,1.9,No,80.3,5.6,Fair,0,High School,Average,8,No,61
1916,18,Male,4.4,3.4,1.4,No,91.1,6.5,Good,1,High School,Good,7,No,69.1
1917,20,Male,5.3,3.2,0,No,75.2,4.4,Good,5,High School,Good,3,No,77.2
1918,20,Male,3.3,2.8,1.4,Yes,71.2,6.5,Poor,5,Bachelor,Average,7,No,71.9
1919,24,Female,2.8,2.2,1.5,No,67,8.5,Good,3,High School,Good,7,Yes,74.7
1920,21,Male,3.5,3.9,2.5,Yes,62.8,6.7,Good,3,None,Good,10,No,74.5
1921,23,Female,4.4,2.7,1,No,79.8,6.1,Fair,6,None,Average,3,No,85.4
1922,17,Male,1.3,0.1,3.6,No,82,5.8,Poor,5,Master,Average,2,Yes,44.3
1923,23,Male,0.1,1.2,0,No,78.7,7.6,Poor,5,High School,Good,9,No,53.4
1924,17,Other,2.7,2.3,3.2,Yes,97.4,5.5,Poor,5,Bachelor,Average,1,Yes,57.4
1925,19,Other,1.7,2.9,1.6,Yes,97.3,8.7,Good,1,None,Good,7,No,53.6
1926,21,Male,2.7,2.4,2.7,No,81.7,8.8,Fair,5,High School,Good,4,Yes,58.8
1927,20,Female,3.3,4,1.9,No,67.1,6.8,Good,0,Bachelor,Good,2,No,43.5
1928,22,Female,2.8,0.2,3.1,No,79.3,6.5,Good,5,High School,Average,2,No,65.6
1929,17,Female,5.7,2.7,1.4,No,79,7.7,Good,0,Master,Average,8,Yes,89.8
1930,23,Male,4,0.3,0.6,No,78.4,7.8,Good,1,Master,Good,7,No,89.5
1931,20,Female,4,3.4,3.4,Yes,78,5.5,Poor,3,Bachelor,Average,7,Yes,68.8
1932,17,Female,4.4,2.4,1.7,No,78.5,5.9,Fair,0,Bachelor,Average,5,No,76.8
1933,17,Female,1.8,3,2,No,81.1,4.9,Good,1,High School,Average,10,No,47.5
1934,24,Male,5.1,1.5,3.2,No,78.6,7,Poor,5,High School,Poor,8,Yes,89.3
1935,17,Male,3.4,4,0.7,Yes,87.1,7.3,Poor,1,Master,Good,2,No,62
1936,22,Male,4.5,3.8,2.5,No,88.6,4.9,Good,5,Bachelor,Average,2,Yes,66.1
1937,21,Female,1.9,3.2,1.2,No,75.9,6,Good,6,Bachelor,Good,5,No,41.7
1938,22,Male,1.2,2.3,1.7,No,97.7,4.9,Fair,1,High School,Poor,1,No,28
1939,18,Female,4.7,3.2,1.9,No,75.2,5.4,Good,3,None,Good,6,No,71
1940,20,Other,4.1,1.7,0.1,Yes,68.8,7.2,Good,0,Master,Average,4,No,67.5
1941,21,Male,2.1,3.5,0.9,No,88.8,5.6,Fair,6,High School,Good,6,No,63.4
1942,24,Female,2.2,4.5,3.3,No,76.8,6.1,Poor,3,High School,Good,7,No,50.2
1943,21,Male,5.2,3.8,2.8,No,88.2,4.5,Good,2,High School,Poor,3,No,72
1944,21,Female,1.7,1.6,1.7,No,61,6.7,Fair,5,Bachelor,Good,8,Yes,67.9
1945,23,Male,6,2.9,2.1,Yes,98.9,6.4,Poor,0,None,Average,7,No,100
1946,21,Female,2.1,0.9,1.5,No,91.7,5.6,Fair,3,Bachelor,Good,1,Yes,55
1947,24,Female,4.5,3.2,3.3,Yes,70,6.3,Good,0,High School,Good,6,Yes,59.9
1948,22,Female,3,3,1.6,No,70.2,6.7,Fair,2,Master,Good,7,No,63.2
1949,21,Female,4.4,0.3,2.1,No,100,5.5,Fair,4,Bachelor,Good,4,No,84.5
1950,19,Female,2.7,1.1,3.1,No,77.6,4.7,Fair,5,High School,Average,2,No,50.8
1951,20,Female,3.3,2.2,0.9,No,76.7,8.7,Good,5,Bachelor,Poor,10,No,94
1952,21,Female,3.6,2.1,3.5,Yes,62.3,5.7,Poor,1,High School,Average,9,No,65.6
1953,20,Female,2,1,0.1,No,81.5,6.4,Fair,5,High School,Average,7,No,61.7
1954,19,Male,4.6,3,3.6,No,82.7,7.7,Good,5,Master,Good,1,Yes,66
1955,19,Female,2.7,2.8,1.4,Yes,92.2,10,Poor,3,High School,Average,8,No,86.9
1956,20,Female,3.2,2.3,1.5,No,71,5,Good,6,High School,Good,3,No,59.6
1957,17,Female,2,1.6,0,No,69.8,7,Good,5,High School,Average,4,No,49.1
1958,18,Male,0,3.8,1.3,Yes,89.5,5.7,Good,5,High School,Average,5,No,31.1
1959,23,Female,3.2,4.5,0.7,No,95.1,5.9,Fair,2,Master,Good,1,No,45.7
1960,17,Male,7.1,1.9,1.1,Yes,69.3,5.6,Good,6,High School,Average,6,No,100
1961,17,Female,4.7,1.8,1.6,No,95.8,5.1,Good,2,Master,Good,10,No,81.1
1962,22,Male,3.5,3.1,2.9,Yes,85.4,6.5,Good,0,Master,Average,6,No,55.1
1963,23,Female,3.1,2.1,2,No,95.9,4.7,Poor,0,High School,Good,2,No,53.3
1964,23,Other,3.5,2.3,2.1,No,84.3,7.6,Good,5,High School,Poor,10,Yes,89.1
1965,17,Male,4.3,3.4,0.6,No,59.8,6.6,Fair,5,Master,Average,6,Yes,77.3
1966,21,Other,1.7,0.2,0.8,No,83.5,7,Poor,1,High School,Good,8,Yes,56.4
1967,22,Male,5.2,4.1,3.8,No,95.6,5.9,Fair,0,None,Good,6,No,76.1
1968,22,Female,4.6,2.6,1,No,76.1,6.1,Good,3,High School,Average,4,No,74.6
1969,19,Female,4.6,2,3.6,Yes,81.1,6.8,Fair,5,Bachelor,Average,4,No,83
1970,24,Female,4.2,2.4,1.5,No,83.2,5.1,Fair,3,Bachelor,Average,9,Yes,85.9
1971,23,Female,3.5,2.5,1.8,No,56,6.1,Good,5,High School,Average,6,No,64.5
1972,17,Female,4.5,0.4,3,No,100,5.5,Fair,3,High School,Good,8,No,91.9
1973,19,Male,4.4,4.3,3.2,No,76,5.4,Good,4,Master,Good,8,No,74.6
1974,20,Male,3,2.5,1.7,No,90.1,4,Fair,3,Bachelor,Poor,7,No,70.9
1975,18,Female,2.6,3,1.4,No,84.1,8.1,Fair,6,Bachelor,Average,3,No,66.7
1976,24,Female,3.7,3.6,1.7,No,97.6,5.7,Good,0,Bachelor,Good,10,Yes,77.4
1977,24,Female,5.8,1.3,2.2,Yes,89.1,7.9,Good,5,High School,Average,1,Yes,99
1978,24,Female,1.6,3.1,2.8,No,82.7,7.8,Fair,0,Bachelor,Good,5,Yes,43.5
1979,22,Male,1.3,2.2,1.8,No,76.1,5,Good,6,High School,Poor,10,No,53.4
1980,20,Female,3.7,3.5,2.5,No,93,5.2,Poor,6,High School,Good,10,Yes,81
1981,24,Male,3.6,0,3.6,No,66.3,9.6,Fair,3,Bachelor,Average,2,No,66.2
1982,20,Female,3.8,2.4,2.2,Yes,91.5,8.6,Fair,2,High School,Good,10,No,88
1983,21,Male,3.9,1.8,2.1,No,74,6.5,Poor,2,Master,Average,2,No,64.4
1984,24,Male,3.2,3,0.1,No,97.5,6.8,Fair,6,High School,Average,7,No,82.4
1985,18,Male,5.7,3.1,0,Yes,86.6,5.7,Fair,2,Master,Good,3,Yes,80.9
1986,20,Male,1.1,1.7,2.2,No,91.4,7,Poor,5,Master,Poor,8,No,59.6
1987,20,Female,2.3,1.6,1.7,Yes,85.8,5.6,Fair,1,High School,Average,9,No,56.2
1988,18,Male,3.3,2.4,1.2,No,67.5,4.1,Fair,4,Bachelor,Average,8,Yes,72.5
1989,24,Male,1,1.4,2.1,Yes,76.4,4.9,Fair,3,High School,Average,6,No,47.6
1990,18,Male,3.2,3.5,1.7,No,91.7,6.5,Good,1,Master,Good,5,No,63.6
1991,20,Male,6,2.1,3,No,86.7,5.1,Good,2,High School,Good,3,No,85.3
1992,18,Male,3.5,0,1.9,No,96.8,6.4,Fair,3,Bachelor,Poor,3,No,71.8
1993,20,Male,3.8,2.1,1,No,89,5.2,Good,1,High School,Good,7,No,70.9
1994,20,Female,1.6,1.3,2.9,No,75.3,5.6,Good,0,High School,Average,5,No,41.7
1995,21,Female,2.6,0.5,1.6,No,77,7.5,Fair,2,High School,Good,6,Yes,76.1
1996,17,Female,2.9,1,2.4,Yes,86,6.8,Poor,1,High School,Average,6,Yes,65.9
1997,20,Male,3,2.6,1.3,No,61.9,6.5,Good,5,Bachelor,Good,9,Yes,64.4
1998,24,Male,5.4,4.1,1.1,Yes,100,7.6,Fair,0,Bachelor,Average,1,No,69.7
1999,19,Female,4.3,2.9,1.9,No,89.4,7.1,Good,2,Bachelor,Average,8,No,74.9
